type,sample,version,predicted_verdict,root_cause
FN,sanchuan.mimo-copilot,1.1.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.minimax-copilot,1.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.minimax-copilot,1.0.12,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.minimax-copilot,1.0.4,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.minimax-copilot,1.0.7,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.minimax-copilot,1.1.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,serialt.sugar-proto,0.5.7,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,siffat-ahmed.ai-autocomplete-siffat-ahmed,0.1.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,wlnxingdev.free-senltig,17.6.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,zhukunpeng.chat-moss,8.0.0,BENIGN,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FP,Gruntfuggly.todo-tree,0.0.226,MALICIOUS,Download-cradle proximity matched benign library text (LOLBIN keyword near an unrelated URL). Fix: tighten proximity / restrict to app code.
FP,PKief.material-icon-theme,5.35.0,MALICIOUS,Download-cradle proximity matched benign library text (LOLBIN keyword near an unrelated URL). Fix: tighten proximity / restrict to app code.
FP,TabNine.tabnine-vscode,3.335.0,MALICIOUS,"Generic process/socket marker fired on a legitimate language-server / dev-tool that uses child_process. Fix: scan generic markers in the extension's own code only, not node_modules."
FP,formulahendry.code-runner,0.12.2,MALICIOUS,Download-cradle proximity matched benign library text (LOLBIN keyword near an unrelated URL). Fix: tighten proximity / restrict to app code.
FP,streetsidesoftware.code-spell-checker,4.6.0,MALICIOUS,Download-cradle proximity matched benign library text (LOLBIN keyword near an unrelated URL). Fix: tighten proximity / restrict to app code.
